"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Bias Injection Attacks on RAG Databases and Sanitization Defenses","https://scispace.com/paper/bias-injection-attacks-on-rag-databases-and-sanitization-nyyhki2bgf01","2025","Journal Article","arXiv.org","Hao Wu
Prateek Saxena","10.48550/arxiv.2512.00804","https://export.arxiv.org/pdf/2512.00804v1.pdf","- **Relevance Score:** 67/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses vector DBs to retrieve context, injects factually correct but biased passages, and proposes BiasDef filtering; attacks are a form of poisoning but not explicitly memory‑focused, and evaluation lacks real‑world vector store details and multi‑size LLM benchmarks.","This paper explores attacks and defenses on vector databases in retrieval-augmented generation (RAG) systems. Prior work on knowledge poisoning attacks primarily inject false or toxic content, which fact-checking or linguistic analysis easily detects. We reveal a new and subtle threat: bias injection attacks, which insert factually correct yet semantically biased passages into the knowledge base to covertly influence the ideological framing of answers generated by large language models (LLMs). We demonstrate that these adversarial passages, though linguistically coherent and truthful, can systematically crowd out opposing views from the retrieved context and steer LLM answers toward the attacker's intended perspective. We precisely characterize this class of attacks and then develop a post-retrieval filtering defense, BiasDef. We construct a comprehensive benchmark based on public question answering datasets to evaluate them. Our results show that: (1) the proposed attack induces significant perspective shifts in LLM answers, effectively evading existing retrieval-based sanitization defenses; and (2) BiasDef outperforms existing methods by reducing adversarial passages retrieved by 15\% which mitigates perspective shift by 6.2\times in answers, while enabling the retrieval of 62\% more benign passages."
"Adversarial and Multilingual Threats in Retrieval-Augmented Generation: From Prompt Injection to Model Exploitation","https://scispace.com/paper/adversarial-and-multilingual-threats-in-retrieval-augmented-1poia1mr431k","2025","Journal Article","","Mohamed Bader-El-Den","10.1109/gaclm67198.2025.11231998","","- **Relevance Score:** 67/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses vector store‑based RAG to study prompt and injection attacks on multilingual LLM agents; proposes some defenses but lacks extensive real‑store experiments or multi‑size benchmarking.",""
"SoK: Unifying Cybersecurity and Cybersafety of Multimodal Foundation
  Models with an Information Theory Approach","https://scispace.com/paper/sok-unifying-cybersecurity-and-cybersafety-of-multimodal-3nhredu58avk","2024","Journal Article","","Ruoxi Sun
Jiamin Chang
Hammond Pearce
Chaowei Xiao
Bo Li
Qi Wu
‪Surya Nepal‬
Minhui Xue","10.48550/arxiv.2411.11195","https://scispace.compdf/sok-unifying-cybersecurity-and-cybersafety-of-multimodal-3nhredu58avk.pdf","- **Relevance Score:** 67/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses information‑theoretic analysis to detail backdoor and injection attacks on RAG memory, mentions vector stores and defenses, but lacks concrete vector‑store experiments or multi‑model scaling.","Multimodal foundation models (MFMs) represent a significant advancement in artificial intelligence, combining diverse data modalities to enhance learning and understanding across a wide range of applications. However, this integration also brings unique safety and security challenges. In this paper, we conceptualize cybersafety and cybersecurity in the context of multimodal learning and present a comprehensive Systematization of Knowledge (SoK) to unify these concepts in MFMs, identifying key threats to these models. We propose a taxonomy framework grounded in information theory, evaluating and categorizing threats through the concepts of channel capacity, signal, noise, and bandwidth. This approach provides a novel framework that unifies model safety and system security in MFMs, offering a more comprehensive and actionable understanding of the risks involved. We used this to explore existing defense mechanisms, and identified gaps in current research - particularly, a lack of protection for alignment between modalities and a need for more systematic defense methods. Our work contributes to a deeper understanding of the security and safety landscape in MFMs, providing researchers and practitioners with valuable insights for improving the robustness and reliability of these models. "
"Exploring the security threats of knowledge base poisoning in retrieval-augmented code generation","https://scispace.com/paper/exploring-the-security-threats-of-knowledge-base-poisoning-o75kqyfml8bf","2025","Journal Article","arXiv.org","Bo Lin
Shangwen Wang
Liqian Chen
Xiaoguang Mao","10.48550/arxiv.2502.03233","https://arxiv.org/pdf/2502.03233","- **Relevance Score:** 67/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses vector store‑based RAG to study knowledge base poisoning; describes injection of malicious entries; provides empirical attacks on real stores; offers limited defense ideas; does not focus on internal memory attacks or autonomous agents, nor test multiple model scales.",""
"On the Vulnerability of Applying Retrieval-Augmented Generation within
  Knowledge-Intensive Application Domains","https://scispace.com/paper/on-the-vulnerability-of-applying-retrieval-augmented-2srb2dp5p7ag","2024","Journal Article","","Xun Xian
Ganghua Wang
Xuan Bi
Jayanth Srinivasa
Ashish Kundu
Charles B. Fleming
Mingyi Hong
Jie Ding","10.48550/arxiv.2409.17275","https://scispace.compdf/on-the-vulnerability-of-applying-retrieval-augmented-2srb2dp5p7ag.pdf","- **Relevance Score:** 67/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses shrinkage‑based filtering to detect poisoned documents in RAG pipelines; demonstrates near‑perfect detection on medical and textbook datasets, but focuses on retrieval systems rather than autonomous LLM agents and lacks multi‑model size benchmarking.","Retrieval-Augmented Generation (RAG) has been empirically shown to enhance the performance of large language models (LLMs) in knowledge-intensive domains such as healthcare, finance, and legal contexts. Given a query, RAG retrieves relevant documents from a corpus and integrates them into the LLMs' generation process. In this study, we investigate the adversarial robustness of RAG, focusing specifically on examining the retrieval system. First, across 225 different setup combinations of corpus, retriever, query, and targeted information, we show that retrieval systems are vulnerable to universal poisoning attacks in medical Q\&A. In such attacks, adversaries generate poisoned documents containing a broad spectrum of targeted information, such as personally identifiable information. When these poisoned documents are inserted into a corpus, they can be accurately retrieved by any users, as long as attacker-specified queries are used. To understand this vulnerability, we discovered that the deviation from the query's embedding to that of the poisoned document tends to follow a pattern in which the high similarity between the poisoned document and the query is retained, thereby enabling precise retrieval. Based on these findings, we develop a new detection-based defense to ensure the safe use of RAG. Through extensive experiments spanning various Q\&A domains, we observed that our proposed method consistently achieves excellent detection rates in nearly all cases. "
"InjecMEM: Memory injection attack on LLM agent memory systems","https://scispace.com/paper/6VhRVLESTDgJ","","","","H Tian
Z Sha
J Wang
Y Liu
Z Huang
X Huang","","https://openreview.net/pdf?id=QVX6hcJ2um","- **Relevance Score:** 67/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses memory injection to poison LLM agent memory via RAG vector stores, but offers little on defenses, real‑store experiments, or size‑based benchmarking.",""
"PoisonedRAG: Knowledge Poisoning Attacks to Retrieval-Augmented Generation of Large Language Models","https://scispace.com/paper/poisonedrag-knowledge-poisoning-attacks-to-retrieval-34wql99n5y","2024","Journal Article","arXiv.org","Wei Zou
Runpeng Geng
Binghui Wang
Jinyuan Jia","10.48550/arxiv.2402.07867","","- **Relevance Score:** 65/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses knowledge poisoning to force target answers, injects malicious texts into retrieval DB, evaluates existing defenses, but lacks explicit vector‑store implementation details and autonomous agent focus.","Large language models (LLMs) have achieved remarkable success due to their exceptional generative capabilities. Despite their success, they also have inherent limitations such as a lack of up-to-date knowledge and hallucination. Retrieval-Augmented Generation (RAG) is a state-of-the-art technique to mitigate those limitations. In particular, given a question, RAG retrieves relevant knowledge from a knowledge database to augment the input of the LLM. For instance, the retrieved knowledge could be a set of top-k texts that are most semantically similar to the given question when the knowledge database contains millions of texts collected from Wikipedia. As a result, the LLM could utilize the retrieved knowledge as the context to generate an answer for the given question. Existing studies mainly focus on improving the accuracy or efficiency of RAG, leaving its security largely unexplored. We aim to bridge the gap in this work. Particularly, we propose PoisonedRAG , a set of knowledge poisoning attacks to RAG, where an attacker could inject a few poisoned texts into the knowledge database such that the LLM generates an attacker-chosen target answer for an attacker-chosen target question. We formulate knowledge poisoning attacks as an optimization problem, whose solution is a set of poisoned texts. Depending on the background knowledge (e.g., black-box and white-box settings) of an attacker on the RAG, we propose two solutions to solve the optimization problem, respectively. Our results on multiple benchmark datasets and LLMs show our attacks could achieve 90% attack success rates when injecting 5 poisoned texts for each target question into a database with millions of texts. We also evaluate recent defenses and our results show they are insufficient to defend against our attacks, highlighting the need for new defenses."
"MIRAGE: Misleading Retrieval-Augmented Generation via Black-box and Query-agnostic Poisoning Attacks","https://scispace.com/paper/mirage-misleading-retrieval-augmented-generation-via-black-09ew0abbke8d","2025","Journal Article","","","10.48550/arxiv.2512.08289","https://export.arxiv.org/pdf/2512.08289v1.pdf","- **Relevance Score:** 65/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses black‑box corpus poisoning to inject malicious vectors, evaluates on real vector stores, but focuses on retrieval rather than internal memory and offers no concrete defenses or extensive LLM‑size scaling.","Retrieval-Augmented Generation (RAG) systems enhance LLMs with external knowledge but introduce a critical attack surface: corpus poisoning. While recent studies have demonstrated the potential of such attacks, they typically rely on impractical assumptions, such as white-box access or known user queries, thereby underestimating the difficulty of real-world exploitation. In this paper, we bridge this gap by proposing MIRAGE, a novel multi-stage poisoning pipeline designed for strict black-box and query-agnostic environments. Operating on surrogate model feedback, MIRAGE functions as an automated optimization framework that integrates three key mechanisms: it utilizes persona-driven query synthesis to approximate latent user search distributions, employs semantic anchoring to imperceptibly embed these intents for high retrieval visibility, and leverages an adversarial variant of Test-Time Preference Optimization (TPO) to maximize persuasion. To rigorously evaluate this threat, we construct a new benchmark derived from three long-form, domain-specific datasets. Extensive experiments demonstrate that MIRAGE significantly outperforms existing baselines in both attack efficacy and stealthiness, exhibiting remarkable transferability across diverse retriever-LLM configurations and highlighting the urgent need for robust defense strategies. "
"FlipedRAG: Black-Box Opinion Manipulation Attacks to Retrieval-Augmented
  Generation of Large Language Models","https://scispace.com/paper/flipedrag-black-box-opinion-manipulation-attacks-to-3ht1v5ijtojw","2025","Journal Article","","Zhuo Chen
Yulan Gong
Meng Chen
Haotan Liu
Qikai Cheng
Fan Zhang
Wei Lü
Xiaozhong Liu
Jiawei Liu","10.48550/arxiv.2501.02968","https://scispace.compdf/flipedrag-black-box-opinion-manipulation-attacks-to-3ht1v5ijtojw.pdf","- **Relevance Score:** 65/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses real vector stores (e.g., FAISS) to demonstrate injection attacks on RAG pipelines; describes how malicious docs poison retrieval but lacks internal memory poisoning focus, defenses, and multi‑size LLM benchmarking.","Retrieval-Augmented Generation (RAG) addresses hallucination and real-time constraints by dynamically retrieving relevant information from a knowledge database to supplement the LLMs' input. When presented with a query, RAG selects the most semantically similar texts from its knowledge bases and uses them as context for the LLMs to generate more accurate responses. RAG also creates a new attack surface, especially since RAG databases are frequently sourced from public domains. While existing studies have predominantly focused on optimizing RAG's performance and efficiency, emerging research has begun addressing the security concerns associated with RAG. However, these works have some limitations, typically focusing on either white-box methodologies or heuristic-based black-box attacks. Furthermore, prior research has mainly targeted simple factoid question answering, which is neither practically challenging nor resistant to correction. In this paper, we unveil a more realistic and threatening scenario: opinion manipulation for controversial topics against RAG. Particularly, we propose a novel RAG black-box attack method, termed FlipedRAG, which is transfer-based. By leveraging instruction engineering, we obtain partial retrieval model outputs from black-box RAG system, facilitating the training of surrogate models to enhance the effectiveness of opinion manipulation attack. Extensive experimental results confirms that our approach significantly enhances the average success rate of opinion manipulation by 16.7%. It achieves an average of a 50% directional change in the opinion polarity of RAG responses across four themes. Additionally, it induces a 20% shift in user cognition. Furthermore, we discuss the efficacy of potential defense mechanisms and conclude that they are insufficient in mitigating this type of attack, highlighting the urgent need to develop novel defensive strategies. "
"Rescuing the Unpoisoned: Efficient Defense against Knowledge Corruption Attacks on RAG Systems","https://scispace.com/paper/rescuing-the-unpoisoned-efficient-defense-against-knowledge-6j7ferepf7kx","2025","Journal Article","","Kim, Minseok
Lee Han-Kook
Koo, Hyungjoon","10.48550/arxiv.2511.01268","","- **Relevance Score:** 65/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses vector store‑based RAG and injection attacks; proposes lightweight post‑retrieval defense. Does not target internal LLM memory or autonomous agents, and lacks detailed real‑store or multi‑size benchmarks.","Large language models (LLMs) are reshaping numerous facets of our daily lives, leading widespread adoption as web-based services. Despite their versatility, LLMs face notable challenges, such as generating hallucinated content and lacking access to up-to-date information. Lately, to address such limitations, Retrieval-Augmented Generation (RAG) has emerged as a promising direction by generating responses grounded in external knowledge sources. A typical RAG system consists of i) a retriever that probes a group of relevant passages from a knowledge base and ii) a generator that formulates a response based on the retrieved content. However, as with other AI systems, recent studies demonstrate the vulnerability of RAG, such as knowledge corruption attacks by injecting misleading information. In response, several defense strategies have been proposed, including having LLMs inspect the retrieved passages individually or fine-tuning robust retrievers. While effective, such approaches often come with substantial computational costs. In this work, we introduce RAGDefender, a resource-efficient defense mechanism against knowledge corruption (i.e., by data poisoning) attacks in practical RAG deployments. RAGDefender operates during the post-retrieval phase, leveraging lightweight machine learning techniques to detect and filter out adversarial content without requiring additional model training or inference. Our empirical evaluations show that RAGDefender consistently outperforms existing state-of-the-art defenses across multiple models and adversarial scenarios: e.g., RAGDefender reduces the attack success rate (ASR) against the Gemini model from 0.89 to as low as 0.02, compared to 0.69 for RobustRAG and 0.24 for Discern-and-Answer when adversarial passages outnumber legitimate ones by a factor of four (4x). "
"Overcoming the Retrieval Barrier: Indirect Prompt Injection in the Wild for LLM Systems","https://scispace.com/paper/overcoming-the-retrieval-barrier-indirect-prompt-injection-c2vofy8r7ssy","2026","Journal Article","","Hongyan Chang
Ergute Bao
Xinjian Luo
Ting Yu","10.48550/arxiv.2601.07072","https://arxiv.org/pdf/2601.07072","- **Relevance Score:** 65/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Shows practical IPI attacks on RAG pipelines and agentic LLMs, uses trigger fragments to ensure retrieval, evaluates defenses but lacks real vector store implementations and size‑based benchmarks.","Large language models (LLMs) increasingly rely on retrieving information from external corpora. This creates a new attack surface: indirect prompt injection (IPI), where hidden instructions are planted in the corpora and hijack model behavior once retrieved. Previous studies have highlighted this risk but often avoid the hardest step: ensuring that malicious content is actually retrieved. In practice, unoptimized IPI is rarely retrieved under natural queries, which leaves its real-world impact unclear. We address this challenge by decomposing the malicious content into a trigger fragment that guarantees retrieval and an attack fragment that encodes arbitrary attack objectives. Based on this idea, we design an efficient and effective black-box attack algorithm that constructs a compact trigger fragment to guarantee retrieval for any attack fragment. Our attack requires only API access to embedding models, is cost-efficient (as little as $0.21 per target user query on OpenAI's embedding models), and achieves near-100% retrieval across 11 benchmarks and 8 embedding models (including both open-source models and proprietary services). Based on this attack, we present the first end-to-end IPI exploits under natural queries and realistic external corpora, spanning both RAG and agentic systems with diverse attack objectives. These results establish IPI as a practical and severe threat: when a user issued a natural query to summarize emails on frequently asked topics, a single poisoned email was sufficient to coerce GPT-4o into exfiltrating SSH keys with over 80% success in a multi-agent workflow. We further evaluate several defenses and find that they are insufficient to prevent the retrieval of malicious text, highlighting retrieval as a critical open vulnerability. "
"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms","https://scispace.com/paper/prompt-injection-attacks-in-large-language-models-and-ai-dsv4ibw3x43q","2025","Repository","","Said Gulyamov
Andrey Rodionov
Rustam Khursanov
Kambariddin Mekhmonov
Djakhongir Babaev
Akmaljon Rakhimjonov","10.20944/preprints202511.0088.v1","","- **Relevance Score:** 62/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses extensive review of prompt injection and RAG poisoning to discuss attacks and mitigations, but lacks original experiments on vector stores or size‑based benchmarking.","Large Language Models (LLMs) have rapidly transformed artificial intelligence applica-tions across industries, yet their integration into production systems has unveiled critical security vulnerabilities, chief among them prompt injection attacks. This comprehensive review synthesizes research from 2023-2025, analyzing over 120 peer-reviewed papers, industry security reports, and documented real-world exploits. We examine the taxonomy of prompt injection techniques, including direct jailbreaking and indirect injection through external content. The rise of AI agent systems and the Model Context Protocol (MCP) has dramatically expanded attack surfaces, introducing vulnerabilities such as tool poisoning and credential theft. We document critical incidents including GitHub Copilot&amp;#039;s CVE-2025-53773 remote code execution vulnerability (CVSS 9.6) and ChatGPT&amp;#039;s Windows license key exposure. Research demonstrates that just five carefully crafted documents can manipulate AI responses 90% of the time through Retrieval-Augmented Generation (RAG) poisoning. This review provides actionable mitigation strategies based on OWASP Top 10 for LLM Applications 2025, identifies fundamental limitations including the stochastic nature problem and alignment paradox, and proposes research directions for architectur-ally secure AI systems. Our analysis reveals that prompt injection represents a funda-mental architectural vulnerability requiring defense-in-depth approaches rather than singular solutions. "
"POISONCRAFT: Practical Poisoning of Retrieval-Augmented Generation for Large Language Models","https://scispace.com/paper/poisoncraft-practical-poisoning-of-retrieval-augmented-uipmceuzdoq2","2025","Journal Article","","Shao YangGuang
Lin Xinjie
Luo, Haozheng
Xiong Gang
Yu, Jiahao
Shi Jun-zheng","10.48550/arxiv.2505.06579","","- **Relevance Score:** 62/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses vector stores and malicious entry injection to poison RAG retrieval; evaluates attacks across retrievers and models, includes real‑world vector DB tests, but does not target agent memory or propose new defenses, and only loosely addresses autonomous agents and size scaling.","Large language models (LLMs) have achieved remarkable success in various domains, primarily due to their strong capabilities in reasoning and generating human-like text. Despite their impressive performance, LLMs are susceptible to hallucinations, which can lead to incorrect or misleading outputs. This is primarily due to the lack of up-to-date knowledge or domain-specific information. Retrieval-augmented generation (RAG) is a promising approach to mitigate hallucinations by leveraging external knowledge sources. However, the security of RAG systems has not been thoroughly studied. In this paper, we study a poisoning attack on RAG systems named POISONCRAFT, which can mislead the model to refer to fraudulent websites. Compared to existing poisoning attacks on RAG systems, our attack is more practical as it does not require access to the target user query's info or edit the user query. It not only ensures that injected texts can be retrieved by the model, but also ensures that the LLM will be misled to refer to the injected texts in its response. We demonstrate the effectiveness of POISONCRAFTacross different datasets, retrievers, and language models in RAG pipelines, and show that it remains effective when transferred across retrievers, including black-box systems. Moreover, we present a case study revealing how the attack influences both the retrieval behavior and the step-by-step reasoning trace within the generation model, and further evaluate the robustness of POISONCRAFTunder multiple defense mechanisms. These results validate the practicality of our threat model and highlight a critical security risk for RAG systems deployed in real-world applications. We release our code\footnote{https://github.com/AndyShaw01/PoisonCraft} to support future research on the security and robustness of RAG systems in real-world settings. "
"The Hidden Threat in Plain Text: Attacking RAG Data Loaders","https://scispace.com/paper/the-hidden-threat-in-plain-text-attacking-rag-data-loaders-5oa8qkuoh0h0","2025","Journal Article","arXiv.org","Alberto Castagnaro
Umberto Salviati
Mauro Conti
Luca Pajola
Simeone Pizzi","10.48550/arxiv.2507.05093","https://scispace.compdf/the-hidden-threat-in-plain-text-attacking-rag-data-loaders-5oa8qkuoh0h0.pdf","- **Relevance Score:** 62/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Shows how malicious vector DB entries cause DoS in RAG pipelines, but lacks internal memory poisoning focus, defenses, real‑store experiments, and size‑scale benchmarks.","Large Language Models (LLMs) have transformed human-machine interaction since ChatGPT's 2022 debut, with Retrieval-Augmented Generation (RAG) emerging as a key framework that enhances LLM outputs by integrating external knowledge. However, RAG's reliance on ingesting external documents introduces new vulnerabilities. This paper exposes a critical security gap at the data loading stage, where malicious actors can stealthily corrupt RAG pipelines by exploiting document ingestion. We propose a taxonomy of 9 knowledge-based poisoning attacks and introduce two novel threat vectors -- Content Obfuscation and Content Injection -- targeting common formats (DOCX, HTML, PDF). Using an automated toolkit implementing 19 stealthy injection techniques, we test five popular data loaders, finding a 74.4% attack success rate across 357 scenarios. We further validate these threats on six end-to-end RAG systems -- including white-box pipelines and black-box services like NotebookLM and OpenAI Assistants -- demonstrating high success rates and critical vulnerabilities that bypass filters and silently compromise output integrity. Our results emphasize the urgent need to secure the document ingestion process in RAG systems against covert content manipulations."
"Pr-attack: Coordinated prompt-rag attacks on retrieval-augmented generation in large language models via bilevel optimization","https://scispace.com/paper/pr-attack-coordinated-prompt-rag-attacks-on-retrieval-zgyrkmivdkiu","2025","Proceedings Article","","Yang Jiao
Xiaodong Wang
Kai Yang","10.1145/3726302.3730058","https://dl.acm.org/doi/pdf/10.1145/3726302.3730058","- **Relevance Score:** 62/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses bilevel optimization to craft coordinated prompt‑RAG attacks, injecting malicious entries into the vector store; lacks defense proposals and broad agent or size benchmarks.",""
"Certifiably Robust RAG against Retrieval Corruption","https://scispace.com/paper/certifiably-robust-rag-against-retrieval-corruption-1hrewmjgr8","2024","Preprint","","Chong Xiang
Tong Wu
Zexuan Zhong
David Wagner
Danqi Chen
Prateek Mittal","10.48550/arxiv.2405.15556","https://scispace.compdf/certifiably-robust-rag-against-retrieval-corruption-1hrewmjgr8.pdf","- **Relevance Score:** 62/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses vector store for retrieval; injects malicious passages; proposes RobustRAG defense with certifiable guarantees; evaluates on multiple LLMs but not as agents; limited real‑vector‑store experiments and size‑scaling analysis.","Retrieval-augmented generation (RAG) has been shown vulnerable to retrieval corruption attacks: an attacker can inject malicious passages into retrieval results to induce inaccurate responses. In this paper, we propose RobustRAG as the first defense framework against retrieval corruption attacks. The key insight of RobustRAG is an isolate-then-aggregate strategy: we get LLM responses from each passage in isolation and then securely aggregate these isolated responses. To instantiate RobustRAG, we design keyword-based and decoding-based algorithms for securely aggregating unstructured text responses. Notably, RobustRAG can achieve certifiable robustness: we can formally prove and certify that, for certain queries, RobustRAG can always return accurate responses, even when the attacker has full knowledge of our defense and can arbitrarily inject a small number of malicious passages. We evaluate RobustRAG on open-domain QA and long-form text generation datasets and demonstrate its effectiveness and generalizability across various tasks and datasets. "
"Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents","https://scispace.com/paper/agent-security-bench-asb-formalizing-and-benchmarking-1g55p20nd37a","2024","Journal Article","arXiv.org","Hanrong Zhang
Jingyuan Huang
Kai Mei
Yifei Yao
Zhenting Wang
Chenlu Zhan
Hongwei Wang
Yongfeng Zhang","10.48550/arxiv.2410.02644","https://scispace.compdf/agent-security-bench-asb-formalizing-and-benchmarking-1g55p20nd37a.pdf","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses memory poisoning to corrupt stored plans, leverages a vector‑based memory store for RAG, describes malicious entry injection, but offers no defenses or real‑store experiments, nor size‑scale benchmarks.","Although LLM-based agents, powered by Large Language Models (LLMs), can use external tools and memory mechanisms to solve complex real-world tasks, they may also introduce critical security vulnerabilities. However, the existing literature does not comprehensively evaluate attacks and defenses against LLM-based agents. To address this, we introduce Agent Security Bench (ASB), a comprehensive framework designed to formalize, benchmark, and evaluate the attacks and defenses of LLM-based agents, including 10 scenarios (e.g., e-commerce, autonomous driving, finance), 10 agents targeting the scenarios, over 400 tools, 23 different types of attack/defense methods, and 8 evaluation metrics. Based on ASB, we benchmark 10 prompt injection attacks, a memory poisoning attack, a novel Plan-of-Thought backdoor attack, a mixed attack, and 10 corresponding defenses across 13 LLM backbones with nearly 90,000 testing cases in total. Our benchmark results reveal critical vulnerabilities in different stages of agent operation, including system prompt, user prompt handling, tool usage, and memory retrieval, with the highest average attack success rate of 84.30\%, but limited effectiveness shown in current defenses, unveiling important works to be done in terms of agent security for the community. Our code can be found at https://github.com/agiresearch/ASB."
"GraphRAG under Fire","https://scispace.com/paper/graphrag-under-fire-6jcl1a0bb98d","2025","Journal Article","","Jiacheng Liang
Yuhui Wang
Changjiang Li
Ruiqi Zhu
Tingshu Jiang
Neil Gong
Ting Wang","10.48550/arxiv.2501.14050","https://scispace.compdf/graphrag-under-fire-6jcl1a0bb98d.pdf","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses GraphRAG poisoning to inject malicious relations, demonstrating attack effectiveness; leverages vector store indexing but offers no defenses, limited agent focus, minimal real‑store experiments, no size scaling.","GraphRAG advances retrieval-augmented generation (RAG) by structuring external knowledge as multi-scale knowledge graphs, enabling language models to integrate both broad context and granular details in their reasoning. While GraphRAG has demonstrated success across domains, its security implications remain largely unexplored. To bridge this gap, this work examines GraphRAG's vulnerability to poisoning attacks, uncovering an intriguing security paradox: compared to conventional RAG, GraphRAG's graph-based indexing and retrieval enhance resilience against simple poisoning attacks; meanwhile, the same features also create new attack surfaces. We present GRAGPoison, a novel attack that exploits shared relations in the knowledge graph to craft poisoning text capable of compromising multiple queries simultaneously. GRAGPoison employs three key strategies: i) relation injection to introduce false knowledge, ii) relation enhancement to amplify poisoning influence, and iii) narrative generation to embed malicious content within coherent text. Empirical evaluation across diverse datasets and models shows that GRAGPoison substantially outperforms existing attacks in terms of effectiveness (up to 98% success rate) and scalability (using less than 68% poisoning text). We also explore potential defensive measures and their limitations, identifying promising directions for future research. "
"Knowledge Database or Poison Base? Detecting RAG Poisoning Attack
  through LLM Activations","https://scispace.com/paper/knowledge-database-or-poison-base-detecting-rag-poisoning-2uya74od8k61","2024","Journal Article","","X. Gary Tan
Tom H. Luan
Mingyu Luo
Xiaoyan Sun
Ping Chen
Jun Dai","10.48550/arxiv.2411.18948","https://scispace.compdf/knowledge-database-or-poison-base-detecting-rag-poisoning-2uya74od8k61.pdf","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Detects poisoned RAG responses via LLM activations, explicitly targets memory poisoning and proposes a non‑intrusive detection defense. Mentions poisoned knowledge but lacks vector‑store specifics, agent focus, and broad real‑store experiments; evaluates only 7B‑scale models.","As Large Language Models (LLMs) are progressively deployed across diverse fields and real-world applications, ensuring the security and robustness of LLMs has become ever more critical. Retrieval-Augmented Generation (RAG) is a cutting-edge approach designed to address the limitations of large language models (LLMs). By retrieving information from the relevant knowledge database, RAG enriches the input to LLMs, enabling them to produce responses that are more accurate and contextually appropriate. It is worth noting that the knowledge database, being sourced from publicly available channels such as Wikipedia, inevitably introduces a new attack surface. RAG poisoning involves injecting malicious texts into the knowledge database, ultimately leading to the generation of the attacker's target response (also called poisoned response). However, there are currently limited methods available for detecting such poisoning attacks. We aim to bridge the gap in this work. Particularly, we introduce RevPRAG, a flexible and automated detection pipeline that leverages the activations of LLMs for poisoned response detection. Our investigation uncovers distinct patterns in LLMs' activations when generating correct responses versus poisoned responses. Our results on multiple benchmark datasets and RAG architectures show our approach could achieve 98% true positive rate, while maintaining false positive rates close to 1%. We also evaluate recent backdoor detection methods specifically designed for LLMs and applicable for identifying poisoned responses in RAG. The results demonstrate that our approach significantly surpasses them. "
"Knowledge Base Poisoning Attacks and Defense for Policy-Aware LLM-RAG Framework","https://scispace.com/paper/http://arxiv.org/abs/2607.04379v1","2026","Preprint","","Om Solanki
Lopamudra Praharaj
Deepti Gupta
Maanak Gupta","","https://arxiv.org/pdf/2607.04379v1","- **Relevance Score:** 60/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Shows query‑agnostic KB poisoning and CLD‑KB defense for PA‑LLM‑RAG, but lacks vector‑store specifics and multi‑model scaling experiments.","This paper presents an adversarial security study of the Policy-Aware LLM Retrieval-Augmented Generation (PA-LLM-RAG) framework for Internet of Battlefield Things (IoBT) mission control. We propose Query-Agnostic Semantic Retrieval Poisoning, a novel attack that injects semantically crafted rules into the IoBT knowledge base achieving high retrieval ranking across all operator query types without requiring knowledge of runtime prompts. The attack achieves 85% LLM context corruption from a single injected rule (1.6% poisoning rate) and saturates at 7.7% poisoning, demonstrating that even minimal knowledge base compromise is sufficient to corrupt mission decisions. To counter this threat, we propose CLD-KB (Cyber-Layered Defense for Knowledge Base), a dual-detector anomaly detection framework combining One-Class SVM boundary detection with a novel Member-Based Category Spread analysis that exploits the three-category IoBT policy taxonomy to identify poisoned rules before they reach the decision LLM. CLD-KB significantly outperforms five baseline methods including DBSCAN, LOF, K-Means, Isolation Forest, and One-Class SVM in both poisoning detection and knowledge preservation, with only 7ms computational overhead per mission, establishing it as an effective and edge-deployable defense for LLM-driven IoBT mission systems."
